2021/6/11 13:41:29,【! 报警】,NI_Database_API.lvlib:Cmd Execute.vi->NI_Database_API.lvlib:DB Tools Update Data.vi->DB Update Data(Feedback).vi:4630012->UPH & Target & Clear Zero.vi->Call Steps.vi->Main Panel.vi<ERR>ADO Error: 0x80040E31
NI_Database_API.lvlib:Rec Create - Command.vi->NI_Database_API.lvlib:Cmd Execute.vi->NI_Database_API.lvlib:DB Tools Update Data.vi->DB Update Data(Feedback).vi:4630012->UPH & Target & Clear Zero.vi->Call Steps.vi->Main Panel.vi中的Exception occured in Microsoft OLE DB Provider for ODBC Drivers: [Microsoft][ODBC SQL Server Driver]查询超时已过期,Ture,0,UPH & Target & Clear Zero.vi:\
2021/6/11 14:12:49,【! 报警】,NI_Database_API.lvlib:Cmd Execute.vi->NI_Database_API.lvlib:DB Tools Update Data.vi->DB Update Data(Feedback).vi:4630012->UPH & Target & Clear Zero.vi->Call Steps.vi->Main Panel.vi<ERR>ADO Error: 0x80040E31
NI_Database_API.lvlib:Rec Create - Command.vi->NI_Database_API.lvlib:Cmd Execute.vi->NI_Database_API.lvlib:DB Tools Update Data.vi->DB Update Data(Feedback).vi:4630012->UPH & Target & Clear Zero.vi->Call Steps.vi->Main Panel.vi中的Exception occured in Microsoft OLE DB Provider for ODBC Drivers: [Microsoft][ODBC SQL Server Driver]查询超时已过期,Ture,0,UPH & Target & Clear Zero.vi:\
2021/6/11 14:25:42,【! 报警】,NI_Database_API.lvlib:Cmd Execute.vi->NI_Database_API.lvlib:DB Tools Update Data.vi->DB Update Data(Feedback).vi:4630012->UPH & Target & Clear Zero.vi->Call Steps.vi->Main Panel.vi<ERR>ADO Error: 0x80040E31
NI_Database_API.lvlib:Rec Create - Command.vi->NI_Database_API.lvlib:Cmd Execute.vi->NI_Database_API.lvlib:DB Tools Update Data.vi->DB Update Data(Feedback).vi:4630012->UPH & Target & Clear Zero.vi->Call Steps.vi->Main Panel.vi中的Exception occured in Microsoft OLE DB Provider for ODBC Drivers: [Microsoft][ODBC SQL Server Driver]查询超时已过期,Ture,0,UPH & Target & Clear Zero.vi:\
2021/6/11 20:34:42,【! 报警】,NI_Database_API.lvlib:Cmd Execute.vi->NI_Database_API.lvlib:DB Tools Update Data.vi->DB Update Data(Feedback).vi:4630012->UPH & Target & Clear Zero.vi->Call Steps.vi->Main Panel.vi<ERR>ADO Error: 0x80040E31
NI_Database_API.lvlib:Rec Create - Command.vi->NI_Database_API.lvlib:Cmd Execute.vi->NI_Database_API.lvlib:DB Tools Update Data.vi->DB Update Data(Feedback).vi:4630012->UPH & Target & Clear Zero.vi->Call Steps.vi->Main Panel.vi中的Exception occured in Microsoft OLE DB Provider for ODBC Drivers: [Microsoft][ODBC SQL Server Driver]查询超时已过期,Ture,0,UPH & Target & Clear Zero.vi:\
2021/6/11 21:32:00,【! 报警】,Outline_Station:SN-上线表数据不存在！,Ture,0,Outline_Station.vi:\NI_Database_API.lvlib:ADO Type and Dir to DB Tools.vi->NI_Database_API.lvlib:Rec Get Column Properties (R).vi->NI_Database_API.lvlib:DB Tools List Columns.vi->DB select data(index).vi->Outline_Station.vi->Call Steps.vi->Main Panel.vi<ERR>ADO Error: 0x000001F4
Invalid type.  This data type is not directly supported by the database toolset and will be considered a String.
2021/6/11 21:59:49,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:00:19,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:00:50,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:01:20,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:01:51,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:02:21,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:02:52,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:03:22,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:03:53,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:04:23,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:04:53,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:05:24,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:05:54,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:06:25,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:06:55,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:07:26,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:07:56,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:08:27,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:08:57,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:09:28,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:09:58,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:10:29,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:10:59,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:11:30,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:12:00,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:12:31,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:13:01,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:13:32,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:14:02,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:14:33,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:15:03,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:15:33,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:16:04,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:16:34,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:17:05,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:17:35,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:18:05,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
2021/6/11 22:18:36,【! 报警】,产品换型Station[%1$d]-SN:JDP71ALWB55009902202106101448122数据存储异常！,Ture,0,Product Romete Exchange.vi:\
